"","Mean","Median","St.Dev.","95%CI_low","95%CI_upp"
"mu1[396]",-0.26,-0.26,0.1,-0.46,-0.07
"mu1[397]",0.51,0.51,0.1,0.32,0.71
"mu1[398]",1.13,1.13,0.1,0.92,1.33
"mu1[399]",0.5,0.5,0.11,0.29,0.72
"mu1[400]",0.12,0.12,0.1,-0.09,0.32
"mu1[401]",0.65,0.65,0.12,0.43,0.88
"mu1[402]",-0.53,-0.53,0.12,-0.77,-0.32
"mu1[403]",-0.08,-0.08,0.13,-0.34,0.16
"mu1[404]",-0.3,-0.3,0.11,-0.52,-0.09
"mu1[405]",0.49,0.48,0.11,0.27,0.71
"mu1[406]",0.72,0.72,0.07,0.58,0.86
"mu1[407]",0.11,0.11,0.09,-0.08,0.29
"mu1[408]",0.2,0.2,0.09,0.01,0.37
"mu1[409]",0.34,0.34,0.11,0.11,0.55
"mu1[410]",0.02,0.02,0.05,-0.07,0.11
"mu1[411]",0.95,0.95,0.1,0.76,1.14
"mu1[412]",-0.42,-0.42,0.11,-0.64,-0.21
"mu1[413]",0.09,0.09,0.11,-0.12,0.29
"mu1[414]",0.38,0.38,0.1,0.19,0.57
"mu1[415]",-0.4,-0.4,0.1,-0.59,-0.2
"mu1[416]",-0.49,-0.49,0.08,-0.64,-0.33
"mu1[417]",-0.19,-0.19,0.12,-0.43,0.03
"mu1[418]",0.12,0.12,0.13,-0.13,0.37
"mu1[419]",0.37,0.37,0.12,0.12,0.6
"mu1[420]",0.66,0.66,0.1,0.44,0.86
"mu1[421]",0,0,0.11,-0.22,0.21
"mu1[422]",-0.38,-0.38,0.05,-0.49,-0.27
"mu1[423]",-0.63,-0.63,0.12,-0.87,-0.39
"mu1[424]",-0.23,-0.22,0.12,-0.46,-0.01
"mu1[425]",0.6,0.6,0.1,0.4,0.8
"mu1[426]",0.05,0.04,0.12,-0.18,0.27
"mu1[427]",0.72,0.72,0.16,0.4,1.03
"mu1[428]",0.63,0.63,0.06,0.51,0.75
"mu1[429]",-1.21,-1.21,0.08,-1.37,-1.05
"mu1[430]",0.87,0.87,0.08,0.72,1.02
"mu1[431]",0.96,0.97,0.07,0.82,1.1
"mu1[432]",-1.42,-1.43,0.09,-1.59,-1.25
"mu1[433]",0.72,0.72,0.07,0.59,0.86
"mu1[434]",-0.1,-0.1,0.06,-0.22,0.02
"mu1[435]",0.16,0.16,0.07,0.03,0.29
"mu1[436]",-0.24,-0.24,0.09,-0.42,-0.06
"mu1[437]",0.1,0.1,0.07,-0.04,0.23
"mu1[438]",0.46,0.46,0.05,0.36,0.56
"mu1[439]",-0.09,-0.09,0.06,-0.21,0.02
"mu1[440]",-0.6,-0.59,0.08,-0.75,-0.46
"mu1[441]",0.24,0.24,0.07,0.11,0.37
"mu1[442]",1.22,1.22,0.08,1.07,1.39
"mu1[443]",-0.07,-0.07,0.06,-0.19,0.05
"mu1[444]",0.52,0.52,0.06,0.4,0.63
"mu1[445]",0.22,0.22,0.07,0.08,0.36
"mu1[446]",0.11,0.11,0.06,0,0.22
"mu1[447]",0.62,0.62,0.06,0.5,0.75
"mu1[448]",0.97,0.97,0.07,0.84,1.11
"mu1[449]",0.93,0.93,0.06,0.83,1.04
"mu1[450]",-0.27,-0.27,0.07,-0.4,-0.14
"mu1[451]",0.76,0.76,0.06,0.65,0.88
"mu1[452]",-0.33,-0.33,0.1,-0.52,-0.14
"mu1[453]",0.37,0.37,0.05,0.28,0.46
"mu1[454]",-0.1,-0.09,0.05,-0.19,-0.01
"mu1[455]",1.12,1.12,0.06,1.01,1.25
"mu1[456]",0.52,0.52,0.04,0.42,0.6
"mu1[457]",0.28,0.29,0.06,0.16,0.41
"mu1[458]",0.25,0.25,0.08,0.09,0.39
"mu1[459]",-0.5,-0.5,0.09,-0.68,-0.32
"mu1[460]",0.81,0.81,0.05,0.72,0.9
